StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Gujarat,4,1994,463,114,39,153,7.14285714285714,14.2857142857143,0,2.1978021978022,7.050331563763241,18.18255379802535,7.018281176348045,20.92550337408056,185,.2462203023758099,.0842332613390929,.3304535637149028,259.7507685432195,50.35951116973742
Haryana,5,1994,381,75,0,75,18.8888888888889,0,0,6.66666666666667,20.62614166363154,0,21.55933352373425,0,316,.1968503937007874,0,.1968503937007874,0,389.6048980908183
Karnataka,6,1994,1414,240,205,322,14.7321428571429,.892857142857143,1,3.125,17.34084396564833,5.796875408037675,18.16959335536851,5.244695160478249,206,.1697312588401697,.144978783592645,.2277227722772277,5.175781614319353,255.4677905653556
Kerala,7,1994,162,26,18,38,9.28571428571429,.714285714285714,0,5.71428571428571,10.52561096645943,1.328538418293229,10.98094781341347,1.446263705151277,683,.1604938271604938,.1111111111111111,.2345679012345679,.9489560130665918,97.73781611712332
Maharashtra,8,1994,1863,397,281,678,6.25,7.638888888888889,0,2.08333333333333,10.8847229055615,11.21257694309399,11.47212532808509,13.23635592416757,220,.2130971551261406,.1508319914117016,.3639291465378422,85.65162942641246,68.02951815975941
Madhya Pradesh,9,1994,1244,236,142,378,13.75,23.4375,0,3.75,14.9220081036927,25.93761430505136,14.79553269123193,28.81994026513299,134,.1897106109324759,.1141479099678457,.3038585209003216,607.9128352746412,205.1776114257746
Odisha,10,1994,651,114,117,216,14.9659863945578,23.1292517006803,0,4.76190476190476,16.63326413398713,23.52241372610783,16.69538828663288,24.32293920751082,179,.1751152073732719,.1797235023041475,.3317972350230415,544.0558276786851,248.9332047263376
Punjab,11,1994,461,77,0,77,24.7863247863248,0,0,5.12820512820513,30.63189565229448,0,31.93032221726416,0,354,.1670281995661605,0,.1670281995661605,0,759.2521144585816
Rajasthan,12,1994,1195,193,212,386,16.5829145728643,12.0603015075377,0,4.52261306532663,17.6374284347805,14.20728446546827,17.98084244213502,15.38220902241403,109,.1615062761506276,.1774058577405858,.3230125523012553,171.3441342569039,292.4799690189727
Tamil Nadu,13,1994,525,73,79,123,17.9487179487179,1.28205128205128,0,13.5593220338983,21.26639458286255,1.234672011195662,22.91389272945199,1.373543779818437,389,.1390476190476191,.1504761904761905,.2342857142857143,1.582912834866231,381.7045181539422
Tripura,14,1994,41,8,5,13,11.6666666666667,33.3333333333333,0,1.66666666666667,16.66854235720342,34.1290757727588,16.25633059357289,35.93533503119696,216,.1951219512195122,.1219512195121951,.3170731707317073,1137.635859091959,194.4663275007071
Uttar Pradesh,15,1994,3701,686,438,1104,21.2765957446809,.236406619385343,0,3.3096926713948,22.37512818882917,.1736387596597544,23.15866576665233,.2430605490419866,470,.1853553093758444,.1183463928667928,.2982977573628749,.0410493521654266,476.0665572091324
West Bengal,16,1994,266,54,33,71,20.0680272108844,5.78231292517007,0,7.14285714285714,25.69357931706746,6.569890995571324,27.55783813949599,7.317037403248637,661,.2030075187969925,.1240601503759398,.2669172932330827,37.98916562065053,515.6194488799264
